11551|"540154"|"135999"|"32398731"
9654|"540155"|"135999"|"32398815"
9654|"540156"|"135999"|"32398860"
11551|"540158"|"135999"|"32398983"
11551|"540160"|"135999"|"32399105"
|"540162"|"135999"|"32399170"
11551|"540163"|"135999"|"32399213"
11551|"540164"|"135999"|"32399297"
7974|"540164"|"135987"|"32399291"
7974|"540163"|"135987"|"32399207"
7974|"540162"|"135987"|"32399166"
7974|"540160"|"135987"|"32399099"
7974|"540159"|"135987"|"32399060"
7974|"540158"|"135987"|"32398977"
7974|"540157"|"135987"|"32398938"
7885|"540155"|"135987"|"32398809"
7974|"540154"|"135987"|"32398725"
2246|"540164"|"135973"|"32399285"
2246|"540163"|"135973"|"32399201"
2246|"540160"|"135973"|"32399093"
2246|"540159"|"135973"|"32399054"
2246|"540158"|"135973"|"32398971"
2246|"540157"|"135973"|"32398932"
2395|"540155"|"135973"|"32398803"
2246|"540154"|"135973"|"32398719"
5152|"540164"|"135968"|"32399283"
5152|"540163"|"135968"|"32399199"
5152|"540162"|"135968"|"32399165"
5152|"540160"|"135968"|"32399091"
5152|"540159"|"135968"|"32399052"
5152|"540158"|"135968"|"32398969"
5152|"540157"|"135968"|"32398930"
4782|"540155"|"135968"|"32398801"
5152|"540154"|"135968"|"32398717"
1780|"540164"|"135944"|"32399300"
1780|"540163"|"135944"|"32399216"
|"540162"|"135944"|"32399171"
1780|"540160"|"135944"|"32399107"
1780|"540158"|"135944"|"32398985"
1780|"540156"|"135944"|"32398863"
1884|"540155"|"135944"|"32398818"
1780|"540154"|"135944"|"32398734"
7498|"540164"|"135939"|"32399277"
7498|"540163"|"135939"|"32399193"
7498|"540162"|"135939"|"32399163"
7498|"540160"|"135939"|"32399085"
7498|"540159"|"135939"|"32399046"
7498|"540158"|"135939"|"32398963"
7498|"540157"|"135939"|"32398924"
7543|"540155"|"135939"|"32398795"
7498|"540154"|"135939"|"32398711"
2856|"540164"|"135938"|"32399276"
2856|"540163"|"135938"|"32399192"
2856|"540162"|"135938"|"32399162"
2856|"540160"|"135938"|"32399084"
2856|"540159"|"135938"|"32399045"
2856|"540158"|"135938"|"32398962"
2856|"540157"|"135938"|"32398923"
2860|"540155"|"135938"|"32398794"
2856|"540154"|"135938"|"32398710"
2165|"540164"|"135937"|"32399275"
2165|"540163"|"135937"|"32399191"
2165|"540162"|"135937"|"32399161"
2165|"540160"|"135937"|"32399083"
2165|"540159"|"135937"|"32399044"
2165|"540158"|"135937"|"32398961"
2165|"540157"|"135937"|"32398922"
2193|"540155"|"135937"|"32398793"
2165|"540154"|"135937"|"32398709"
29792|"540164"|"135924"|"32399265"
29792|"540163"|"135924"|"32399181"
29792|"540162"|"135924"|"32399156"
29792|"540160"|"135924"|"32399073"
29792|"540159"|"135924"|"32399034"
29792|"540158"|"135924"|"32398951"
29792|"540157"|"135924"|"32398912"
28916|"540155"|"135924"|"32398783"
29792|"540154"|"135924"|"32398699"
4429|"540164"|"135923"|"32399264"
4429|"540163"|"135923"|"32399180"
4429|"540162"|"135923"|"32399155"
4429|"540160"|"135923"|"32399072"
4429|"540159"|"135923"|"32399033"
4429|"540158"|"135923"|"32398950"
4429|"540157"|"135923"|"32398911"
4462|"540155"|"135923"|"32398782"
4429|"540154"|"135923"|"32398698"
