0|0|0|200|200|200|"Moist"|"249308924"|"157612371"
0|0|0|200|200|200|"Moist"|"249308928"|"157612375"
0|0|0|200|200|200|"Moist"|"249308923"|"157612370"
0|0|0|200|200|200|"Moist"|"249308927"|"157612374"
0|0|0|200|200|200|"Moist"|"249308926"|"157612373"
0|0|0|200|200|200|"Moist"|"249308930"|"157612377"
0|0|0|200|200|200|"Moist"|"249308925"|"157612372"
0|0|0|200|200|200|"Moist"|"249308931"|"157612378"
0|0|0|200|200|200|"Moist"|"249308929"|"157612376"
0|0|0|200|200|200|"Moist"|"249308921"|"157612368"
0|0|0|200|200|200|"Moist"|"249308922"|"157612369"
0|0|0|200|200|200|"Moist"|"249308920"|"157612367"
0|0|0|200|200|200|"Moist"|"249308628"|"157612066"
0|0|0|200|200|200|"Moist"|"249308623"|"157612061"
0|0|0|200|200|200|"Moist"|"249308626"|"157612064"
0|0|0|200|200|200|"Moist"|"249308627"|"157612065"
0|0|0|200|200|200|"Moist"|"249308630"|"157612068"
0|0|0|200|200|200|"Moist"|"249308625"|"157612063"
0|0|0|200|200|200|"Moist"|"249308620"|"157612058"
0|0|0|200|200|200|"Moist"|"249308631"|"157612069"
0|0|0|200|200|200|"Moist"|"249308621"|"157612059"
0|0|0|200|200|200|"Moist"|"249308629"|"157612067"
0|0|0|200|200|200|"Moist"|"249308624"|"157612062"
0|0|0|200|200|200|"Moist"|"249308622"|"157612060"
0|0|0|200|200|200|"Moist"|"249308936"|"157612383"
0|0|0|200|200|200|"Moist"|"249308940"|"157612387"
0|0|0|200|200|200|"Moist"|"249308935"|"157612382"
0|0|0|200|200|200|"Moist"|"249308939"|"157612386"
0|0|0|200|200|200|"Moist"|"249308938"|"157612385"
0|0|0|200|200|200|"Moist"|"249308942"|"157612389"
0|0|0|200|200|200|"Moist"|"249308937"|"157612384"
0|0|0|200|200|200|"Moist"|"249308943"|"157612390"
0|0|0|200|200|200|"Moist"|"249308941"|"157612388"
0|0|0|200|200|200|"Moist"|"249308933"|"157612380"
0|0|0|200|200|200|"Moist"|"249308934"|"157612381"
0|0|0|200|200|200|"Moist"|"249308932"|"157612379"
0|0|0|200|200|200|"Moist"|"249308952"|"157612399"
0|0|0|200|200|200|"Moist"|"249308947"|"157612394"
0|0|0|200|200|200|"Moist"|"249308951"|"157612398"
0|0|0|200|200|200|"Moist"|"249308950"|"157612397"
0|0|0|200|200|200|"Moist"|"249308954"|"157612401"
0|0|0|200|200|200|"Moist"|"249308949"|"157612396"
0|0|0|200|200|200|"Moist"|"249308955"|"157612402"
0|0|0|200|200|200|"Moist"|"249308953"|"157612400"
0|0|0|200|200|200|"Moist"|"249308945"|"157612392"
0|0|0|200|200|200|"Moist"|"249308946"|"157612393"
0|0|0|200|200|200|"Moist"|"249308944"|"157612391"
0|0|0|200|200|200|"Moist"|"249308948"|"157612395"
0|0|0|200|200|200|"Moist"|"249308964"|"157612411"
0|0|0|200|200|200|"Moist"|"249308959"|"157612406"
0|0|0|200|200|200|"Moist"|"249308956"|"157612403"
0|0|0|200|200|200|"Moist"|"249308962"|"157612409"
0|0|0|200|200|200|"Moist"|"249308966"|"157612413"
0|0|0|200|200|200|"Moist"|"249308961"|"157612408"
0|0|0|200|200|200|"Moist"|"249308967"|"157612414"
0|0|0|200|200|200|"Moist"|"249308957"|"157612404"
0|0|0|200|200|200|"Moist"|"249308965"|"157612412"
0|0|0|200|200|200|"Moist"|"249308963"|"157612410"
0|0|0|200|200|200|"Moist"|"249308960"|"157612407"
